Точка (9,04605263157895;4,98305084745763) принадлежит области: 3 
Точка (3,25657894736842;5,48728813559322) принадлежит области: 4 
Точка (6,05263157894737;1,69067796610169) принадлежит области: 2 
Точка (9,27631578947369;4,36016949152542) принадлежит области: 3 
Точка (9,27631578947369;4,38983050847458) принадлежит области: 3 
Точка (9,27631578947369;4,38983050847458) принадлежит области: 3 
Точка (5,625;1,15677966101695) принадлежит области: 2 
Точка (2,13815789473684;5,48728813559322) принадлежит области: 4 
Точка (2,23684210526316;1,06779661016949) принадлежит области: 1 
Точка (7,33552631578947;0,800847457627119) принадлежит области: 2 
Точка (8,48684210526316;3,52966101694915) принадлежит области: 3 
Точка (4,30921052631579;4,50847457627119) принадлежит области: 4 
Точка (9,14473684210526;2,63983050847458) принадлежит области: 3 
Точка (8,125;5,04237288135593) принадлежит области: 3 
Точка (1,94078947368421;6,67372881355932) принадлежит области: 4 
Точка (0,0657894736842105;0,0889830508474576) принадлежит области: 1 
Точка (9,67105263157895;0,474576271186441) принадлежит области: 3 
Точка (9,83552631578947;0,444915254237288) принадлежит области: 3 
